datetime,dwords
2019-11-18T13:19:25+09:00,"['word101', 'word102']"
2019-11-18T13:18:45+09:00,"['word33', 'word102', 'word103']"
2019-11-18T13:07:15+09:00,"['word33', 'word102', 'word103']"
2019-11-18T12:48:24+09:00,"['word70', 'word82', 'word104']"
2019-11-18T12:47:19+09:00,"['word70', 'word105']"
2019-11-15T16:00:35+09:00,"['word33', 'word106', 'word27']"
2019-11-15T16:00:20+09:00,"['word33', 'word106', 'word27']"
2019-11-15T15:59:48+09:00,"['word33', 'word106', 'word27']"
2019-11-15T15:55:01+09:00,"['word33', 'word107', 'word108']"
2019-11-15T15:54:54+09:00,"['word33', 'word107', 'word109']"
2019-11-15T15:07:46+09:00,"['word33', 'word107', 'word109']"
2019-11-15T15:06:13+09:00,"['word33', 'word107', 'word109']"
2019-11-15T15:05:41+09:00,"['word33', 'word110']"
2019-11-15T15:01:40+09:00,"['word33', 'word110']"
2019-11-15T14:59:33+09:00,"['word33', 'word110']"
2019-11-15T14:55:56+09:00,"['word33', 'word110']"
2019-11-15T14:33:08+09:00,"['word33', 'word110']"
2019-11-15T14:25:07+09:00,"['word33', 'word110']"
2019-11-15T14:18:40+09:00,"['word101', 'word107', 'word76']"
2019-11-15T14:17:56+09:00,"['word101', 'word107', 'word76']"
2019-11-15T14:17:47+09:00,"['word33', 'word110']"
2019-11-15T14:17:01+09:00,"['word33', 'word110']"
2019-11-15T14:16:55+09:00,"['word33', 'word110', 'word111']"
2019-11-15T14:16:52+09:00,"['word33', 'word107', 'word76']"
2019-11-15T14:16:21+09:00,"['word33', 'word107', 'word76']"
2019-11-15T14:15:27+09:00,"['word33', 'word107', 'word76']"
2019-11-15T14:08:02+09:00,"['word33', 'word107', 'word76']"
2019-11-15T14:07:20+09:00,"['word33', 'word107', 'word76']"
2019-11-15T14:06:34+09:00,"['word33', 'word107', 'word76']"
2019-11-15T13:59:57+09:00,"['word33', 'word107', 'word76']"
2019-11-15T13:56:04+09:00,"['word33', 'word106']"
2019-11-15T13:48:26+09:00,"['word33', 'word106']"
2019-11-14T15:31:45+09:00,"['word47', 'word13']"
2019-11-14T15:31:37+09:00,"['word47', 'word80', 'word13']"
2019-11-14T15:31:17+09:00,"['word47', 'word80', 'word13']"
2019-11-14T15:31:09+09:00,"['word47', 'word80', 'word8']"
2019-11-14T15:24:52+09:00,"['word70', 'word82', 'word112']"
2019-11-14T15:24:29+09:00,"['word33', 'word106', 'word80']"
2019-11-14T15:24:24+09:00,"['word70', 'word82', 'word112']"
2019-11-14T15:07:34+09:00,"['word70', 'word82', 'word112']"
2019-11-14T15:07:10+09:00,"['word70', 'word82', 'word112']"
2019-11-14T15:06:54+09:00,"['word70', 'word82', 'word112']"
2019-11-14T15:06:47+09:00,"['word70', 'word82', 'word80']"
2019-11-14T15:01:34+09:00,"['word33', 'word106', 'word80']"
2019-11-14T15:00:25+09:00,"['word33', 'word106', 'word80']"
2019-11-14T14:48:46+09:00,"['word33', 'word106', 'word80']"
